id,input_tokens,output_tokens,total_tokens,y_actual,y_pred
0,244,264,508,2500000.0,120000
1,246,266,512,295000.0,319900
2,245,265,510,299900.0,329900
3,246,266,512,699000.0,625000
4,245,265,510,239000.0,145000
5,243,263,506,11000.0,39000
6,245,265,510,470000.0,355000
7,245,265,510,449000.0,299900
8,245,265,510,250000.0,224900
9,246,266,512,339000.0,345000
10,241,261,502,45400.0,549900
11,244,264,508,420000.0,395000
12,230,250,480,299900.0,1790000
13,245,265,510,59900.0,110000
14,246,266,512,159900.0,230000
15,243,263,506,39900.0,325000
16,245,265,510,149900.0,199900
17,245,265,510,100000.0,149900
18,243,263,506,45000.0,135000
19,246,266,512,2200000.0,2699000
20,246,266,512,524900.0,549000
21,245,265,510,225000.0,275000
22,243,263,506,435000.0,399900
23,245,265,510,430000.0,299900
24,229,249,478,32995.0,120000
25,245,265,510,1400000.0,325000
26,247,267,514,250000.0,325000
27,246,266,512,475000.0,350000
28,245,265,510,325000.0,299900
29,245,265,510,169900.0,199900
30,245,265,510,639000.0,555000
31,244,264,508,606000.0,399900
32,244,264,508,429000.0,550000
33,244,264,508,280000.0,355000
34,242,262,504,15000.0,25000
35,242,262,504,165000.0,219000
36,242,262,504,1200000.0,4499000
37,228,248,476,164500.0,150000
38,242,262,504,75000.0,110000
39,243,263,506,399900.0,260000
40,229,249,478,1350000.0,2500000
41,245,265,510,1149000.0,650000
42,244,264,508,499000.0,625000
43,244,264,508,1300000.0,1199000
44,244,264,508,520000.0,525000
45,231,251,482,399000.0,249900
46,244,264,508,179900.0,439900
47,246,266,512,520000.0,648000
48,244,264,508,145000.0,100000
49,244,264,508,1849950.0,1388000
50,244,264,508,250000.0,325000
51,242,262,504,7999.0,36900
52,232,252,484,44900.0,139900
53,245,265,510,329950.0,199000
54,245,265,510,9900.0,159900
55,246,266,512,596910.0,369900
56,230,250,480,338000.0,289900
57,244,264,508,725000.0,1499000
58,241,261,502,249000.0,149900
59,244,264,508,159900.0,124900
60,245,265,510,297400.0,430000
61,242,262,504,1299000.0,185000
62,247,267,514,2999950.0,1799000
63,243,263,506,1795000.0,2500000
64,246,266,512,1950000.0,378000
65,246,266,512,468000.0,519900
66,244,264,508,95000.0,29900
67,246,266,512,400000.0,475000
68,245,265,510,264900.0,169900
69,227,247,474,247000.0,124900
70,244,264,508,27900.0,135000
71,231,251,482,699000.0,399900
72,244,264,508,299900.0,250000
73,242,262,504,389500.0,499999
74,244,264,508,14297.0,325000
75,227,247,474,159900.0,219900
76,244,264,508,199800.0,185000
77,242,262,504,70000.0,75000
78,249,269,518,499900.0,499900
79,246,266,512,127500.0,499000
80,241,261,502,38220.0,15000
81,229,249,478,1950000.0,375000
82,247,267,514,525000.0,339900
83,246,266,512,493000.0,465000
84,242,262,504,175000.0,310000
85,245,265,510,275000.0,430000
86,226,246,472,21600.0,110000
87,242,262,504,149900.0,379900
88,244,264,508,1500000.0,799900
89,247,267,514,399000.0,120000
90,244,264,508,75000.0,350000
91,229,249,478,239000.0,249000
92,231,251,482,260000.0,359900
93,247,267,514,449000.0,355000
94,241,261,502,170000.0,130000
95,245,265,510,499950.0,535000
96,245,265,510,360000.0,329900
97,244,264,508,394900.0,439900
98,228,248,476,225000.0,349500
99,245,265,510,399000.0,385000
100,241,261,502,525000.0,585000
101,234,254,488,475000.0,469900
102,243,263,506,420000.0,379900
103,245,265,510,599000.0,299900
104,245,265,510,350000.0,300000
105,248,268,516,80000.0,149900
106,244,264,508,20000.0,13000
107,230,250,480,625000.0,499900
108,246,266,512,732600.0,449900
109,245,265,510,429995.0,575000
110,243,263,506,535000.0,375000
111,230,250,480,899000.0,1075000
112,244,264,508,299900.0,284900
113,243,263,506,175000.0,150000
114,231,251,482,252390.0,195000
115,230,250,480,945000.0,1099000
116,246,266,512,309000.0,300000
117,245,265,510,320000.0,269900
